datetime,coin,range,cant,ins,outs
2021-08-05 03:06:58.930393,dogecoin,"[1, 200]",92378648574,1562138,1667856
2021-08-06 00:31:27.809888,dogecoin,"[1, 200]",92272804616,1562707,1668520
2021-08-06 03:36:55.988843,dogecoin,"[1, 200]",92290940754,1562775,1668620
2021-08-05 03:08:44.062733,dogecoin,"[1, 100]",84907306208,1388912,1471769
2021-08-06 00:32:46.266238,dogecoin,"[1, 100]",84774404772,1384484,1467217
2021-08-06 03:36:41.131942,dogecoin,"[1, 100]",84792879710,1398510,1481457
2021-08-06 00:28:28.746000,bitcoin,"[1, 100]",2791495,47842,57601
2021-08-06 03:36:04.146526,bitcoin,"[1, 100]",2791457,47851,57607
2021-08-06 00:30:15.373356,bitcoin,"[1, 200]",3644592,50659,65799
2021-08-06 03:36:25.661929,bitcoin,"[1, 200]",3644554,50668,65805
